,State,Year,Prisoners
1102,Rhode Island,1902,0
1103,Rhode Island,1906,1
1104,Rhode Island,1908,1
1105,Rhode Island,1912,0
1106,Rhode Island,1914,3
1107,Rhode Island,1916,0
1108,Rhode Island,1918,0
1109,Rhode Island,1920,1
1110,Rhode Island,1922,0
1111,Rhode Island,1924,1
1112,Rhode Island,1926,1
1113,Rhode Island,1928,1
1114,Rhode Island,1930,3
1115,Rhode Island,1932,2
1116,Rhode Island,1934,1
1117,Rhode Island,1936,1
1118,Rhode Island,1938,0
1119,Rhode Island,1940,2
1120,South Carolina,1878,0.0
1121,South Carolina,1880,1.0
1122,South Carolina,1882,1
1123,South Carolina,1884,1
1124,South Carolina,1886,1
1125,South Carolina,1888,1
1126,South Carolina,1890,2
1127,South Carolina,1892,0
1128,South Carolina,1896,0
1129,South Carolina,1900,1
1130,South Carolina,1902,2
1131,South Carolina,1906,0
1132,South Carolina,1908,0
1133,South Carolina,1912,1
1134,South Carolina,1914,1
1135,South Carolina,1916,0
1136,South Carolina,1918,0
1137,South Carolina,1920,0
1138,South Carolina,1922,1
1139,South Carolina,1924,2
1140,South Carolina,1926,2
1141,South Carolina,1928,0
1142,South Carolina,1930,0
1143,South Carolina,1932,0
1144,South Carolina,1934,1
1145,South Carolina,1936,2
1146,South Carolina,1938,6
1147,South Carolina,1940,3
1148,South Dakota,1878,0.0
1149,South Dakota,1880,0.0
1150,South Dakota,1882,0
1151,South Dakota,1884,0
1152,South Dakota,1886,0
1153,South Dakota,1888,0
1154,South Dakota,1890,0
1155,South Dakota,1892,0
1156,South Dakota,1896,0
1157,South Dakota,1900,0
1158,South Dakota,1902,0
1159,South Dakota,1906,6
1160,South Dakota,1908,0
1161,South Dakota,1912,1
1162,South Dakota,1914,2
1163,South Dakota,1916,6
1164,South Dakota,1918,0
1165,South Dakota,1920,1
1166,South Dakota,1922,0
1167,South Dakota,1924,2
1168,South Dakota,1926,4
1169,South Dakota,1928,7
1170,South Dakota,1930,8
1171,South Dakota,1932,7
1172,South Dakota,1934,5
1173,South Dakota,1936,6
1174,South Dakota,1938,0
1175,South Dakota,1940,7
1176,Tennessee ,1878,1.0
1177,Tennessee ,1880,2.0
1178,Tennessee ,1882,2
1179,Tennessee ,1884,4
1180,Tennessee ,1886,6
1181,Tennessee ,1888,7
1182,Tennessee ,1890,8
1183,Tennessee ,1892,8
1184,Tennessee ,1896,7
1185,Tennessee ,1900,7
1186,Tennessee ,1902,13
1187,Tennessee ,1906,13
1188,Tennessee ,1908,17
1189,Tennessee ,1912,15
1190,Tennessee ,1914,15
1191,Tennessee ,1916,12
1192,Tennessee ,1918,10
1193,Tennessee ,1920,7
1194,Tennessee ,1922,13
1195,Tennessee ,1924,10
1196,Tennessee ,1926,13
1197,Tennessee ,1928,12
1198,Tennessee ,1930,8
1199,Tennessee ,1932,18
1200,Tennessee ,1934,15
1201,Tennessee ,1936,13
1202,Tennessee ,1938,13
1203,Tennessee ,1940,18
1204,Texas,1878,1.0
1205,Texas,1880,4.0
1206,Texas,1882,4
1207,Texas,1884,6
1208,Texas,1886,8
1209,Texas,1888,6
1210,Texas,1890,18
1211,Texas,1892,8
1212,Texas,1896,20
1213,Texas,1900,4
1214,Texas,1902,11
1215,Texas,1906,15
1216,Texas,1908,12
1217,Texas,1912,26
1218,Texas,1914,35
1219,Texas,1916,24
1220,Texas,1918,13
1221,Texas,1920,16
1222,Texas,1922,39
1223,Texas,1924,46
1224,Texas,1926,47
1225,Texas,1928,52
1226,Texas,1930,37
1227,Texas,1932,49
1228,Texas,1934,53
1229,Texas,1936,63
1230,Texas,1938,66
1231,Texas,1940,43
1232,Utah,1878,0.0
1233,Utah,1880,0.0
1234,Utah,1882,1
1235,Utah,1884,1
1236,Utah,1886,1
1237,Utah,1888,0
1238,Utah,1890,1
1239,Utah,1892,2
1240,Utah,1896,1
1241,Utah,1900,0
1242,Utah,1902,2
1243,Utah,1906,0
1244,Utah,1908,2
1245,Utah,1912,0
1246,Utah,1914,3
1247,Utah,1916,1
1248,Utah,1918,1
1249,Utah,1920,4
1250,Utah,1922,5
1251,Utah,1924,3
1252,Utah,1926,4
1253,Utah,1928,3
1254,Utah,1930,5
1255,Utah,1932,5
1256,Utah,1934,9
1257,Utah,1936,4
1258,Utah,1938,6
1259,Utah,1940,10
1260,Vermont,1878,1.0
1261,Vermont,1880,3.0
1262,Vermont,1882,5
1263,Vermont,1884,1
1264,Vermont,1886,1
1265,Vermont,1888,1
1266,Vermont,1890,2
1267,Vermont,1892,4
1268,Vermont,1896,3
1269,Vermont,1900,2
1270,Vermont,1902,2
1271,Vermont,1906,2
1272,Vermont,1908,1
1273,Vermont,1912,0
1274,Vermont,1914,3
1275,Vermont,1916,0
1276,Vermont,1918,3
1277,Vermont,1920,1
1278,Vermont,1922,1
1279,Vermont,1924,1
1280,Vermont,1926,1
1281,Vermont,1928,1
1282,Vermont,1930,3
1283,Vermont,1932,1
1284,Vermont,1934,0
1285,Vermont,1936,1
1286,Vermont,1938,1
1287,Vermont,1940,1
1288,Virginia,1878,2.0
1289,Virginia,1880,3.0
1290,Virginia,1882,4
1291,Virginia,1884,7
1292,Virginia,1886,5
1293,Virginia,1888,4
1294,Virginia,1890,8
1295,Virginia,1892,9
1296,Virginia,1896,6
1297,Virginia,1900,5
1298,Virginia,1902,1
1299,Virginia,1906,5
1300,Virginia,1908,10
1301,Virginia,1912,8
1302,Virginia,1914,9
1303,Virginia,1916,9
1304,Virginia,1918,7
1305,Virginia,1920,2
1306,Virginia,1922,5
1307,Virginia,1924,7
1308,Virginia,1926,7
1309,Virginia,1928,8
1310,Virginia,1930,3
1311,Virginia,1932,9
1312,Virginia,1934,9
1313,Virginia,1936,2
1314,Virginia,1938,11
1315,Virginia,1940,5
1316,Washington,1878,0.0
1317,Washington,1880,0.0
1318,Washington,1882,0
1319,Washington,1884,0
1320,Washington,1886,0
1321,Washington,1888,0
1322,Washington,1890,0
1323,Washington,1892,0
1324,Washington,1896,0
1325,Washington,1900,0
1326,Washington,1902,1
1327,Washington,1906,2
1328,Washington,1908,1
1329,Washington,1912,1
1330,Washington,1914,5
1331,Washington,1916,2
1332,Washington,1918,0
1333,Washington,1920,4
1334,Washington,1922,0
1335,Washington,1924,1
1336,Washington,1926,5
1337,Washington,1928,1
1338,Washington,1930,4
1339,Washington,1932,6
1340,Washington,1934,6
1341,Washington,1936,1
1342,Washington,1938,3
1343,Washington,1940,7
1344,West Virginia,1878,0.0
1345,West Virginia,1880,0.0
1346,West Virginia,1882,1
1347,West Virginia,1884,3
1348,West Virginia,1886,1
1349,West Virginia,1888,0
1350,West Virginia,1890,4
1351,West Virginia,1892,7
1352,West Virginia,1896,1
1353,West Virginia,1900,2
1354,West Virginia,1902,6
1355,West Virginia,1906,4
1356,West Virginia,1908,2
1357,West Virginia,1912,3
1358,West Virginia,1914,4
1359,West Virginia,1916,3
1360,West Virginia,1918,0
1361,West Virginia,1920,3
1362,West Virginia,1922,8
1363,West Virginia,1924,4
1364,West Virginia,1926,6
1365,West Virginia,1928,4
1366,West Virginia,1930,3
1367,West Virginia,1932,12
1368,West Virginia,1934,5
1369,West Virginia,1936,4
1370,West Virginia,1938,9
1371,West Virginia,1940,8
1372,Wisconsin,1878,3.0
1373,Wisconsin,1880,3.0
1374,Wisconsin,1882,8
1375,Wisconsin,1884,11
1376,Wisconsin,1886,10
1377,Wisconsin,1888,13
1378,Wisconsin,1890,7
1379,Wisconsin,1892,20
1380,Wisconsin,1896,16
1381,Wisconsin,1900,6
1382,Wisconsin,1902,7
1383,Wisconsin,1906,5
1384,Wisconsin,1908,8
1385,Wisconsin,1912,11
1386,Wisconsin,1914,10
1387,Wisconsin,1916,5
1388,Wisconsin,1918,6
1389,Wisconsin,1920,4
1390,Wisconsin,1922,10
1391,Wisconsin,1924,8
1392,Wisconsin,1926,9
1393,Wisconsin,1928,8
1394,Wisconsin,1930,14
1395,Wisconsin,1932,14
1396,Wisconsin,1934,9
1397,Wisconsin,1936,7
1398,Wisconsin,1938,9
1399,Wisconsin,1940,10
1400,Wyoming,1878,0.0
1401,Wyoming,1880,0.0
1402,Wyoming,1882,0
1403,Wyoming,1884,1
1404,Wyoming,1886,0
1405,Wyoming,1888,1
1406,Wyoming,1890,1
1407,Wyoming,1892,0
1408,Wyoming,1896,0
1409,Wyoming,1900,0
1410,Wyoming,1902,0
1411,Wyoming,1906,0
1412,Wyoming,1908,2
1413,Wyoming,1912,2
1414,Wyoming,1914,7
1415,Wyoming,1916,1
1416,Wyoming,1918,9
1417,Wyoming,1920,2
1418,Wyoming,1922,1
1419,Wyoming,1924,5
1420,Wyoming,1926,5
1421,Wyoming,1928,1
1422,Wyoming,1930,9
1423,Wyoming,1932,11
1424,Wyoming,1934,8
1425,Wyoming,1936,9
1426,Wyoming,1938,7
1427,Wyoming,1940,9
